concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
45599386	4020585	Maps to	20141014	20991231	
45601991	4289756	Maps to	20131121	20991231	
45605060	438046	Maps to	20181128	20991231	
45605097	4076661	Maps to	20181128	20991231	
45605300	4301668	Maps to	20161201	20991231	
45609881	438046	Maps to	20181128	20991231	
45755298	4043371	Maps to	20141010	20991231	
45755630	4022569	Maps to	20161201	20991231	
45755760	4011509	Maps to	20181128	20991231	
45755760	4264281	Maps to	20181128	20991231	
45756155	444074	Maps to	20141010	20991231	
45756356	444074	Maps to	20181128	20991231	
45756447	4219484	Maps to	20181128	20991231	
45756512	443272	Maps to	20141010	20991231	
45756577	437738	Maps to	20161201	20991231	
45756577	444074	Maps to	20181128	20991231	
45756602	444074	Maps to	20181128	20991231	
45756683	438046	Maps to	20181128	20991231	
45756716	438046	Maps to	20181128	20991231	
45557727	4032885	Maps to	20230927	20991231	
42618968	37163124	Maps to	20230927	20991231	
42618971	37163124	Maps to	20230927	20991231	
45570439	4171795	Maps to	20230927	20991231	
45755381	37162280	Maps to	20240226	20991231	
1529226	4256228	Maps to	20240226	20991231	
45567915	4213449	Maps to	20240226	20991231	
45542410	40484646	Maps to	20240226	20991231	
42619393	4259507	Maps to	20230927	20991231	
45558357	37162480	Maps to	20230927	20991231	
45592441	4311115	Maps to	20230927	20991231	
45566803	37311993	Maps to	20240226	20991231	
45544048	37167370	Maps to	20240226	20991231	
45587423	4144154	Maps to	20240226	20991231	
45601940	439847	Maps to	20240226	20991231	
42616621	4142899	Maps to	20161201	20991231	
42617249	79903	Maps to	20161201	20991231	
42617337	443795	Maps to	20181128	20991231	
42617544	195906	Maps to	20181128	20991231	
42617544	4182166	Maps to	20181128	20991231	
42618073	4208264	Maps to	20161201	20991231	
42618103	137275	Maps to	20161201	20991231	
42618617	4002133	Maps to	20161201	20991231	
42618620	77365	Maps to	20161201	20991231	
42618854	4344386	Maps to	20161201	20991231	
42619093	75910	Maps to	20161201	20991231	
42619313	4178431	Maps to	20161201	20991231	
42619313	44782620	Maps to	20181128	20991231	
45533118	433752	Maps to	19700101	20991231	
45533286	376979	Maps to	20141014	20991231	
45534339	4070540	Maps to	19700101	20991231	
45537938	4245623	Maps to	20131121	20991231	
45538350	4249596	Maps to	20140701	20991231	
45542914	373764	Maps to	19700101	20991231	
45543906	37117194	Maps to	20190515	20991231	
45547288	4194895	Maps to	20181128	20991231	
45547368	37109843	Maps to	20181128	20991231	
45548286	4115377	Maps to	20141014	20991231	
45553573	434089	Maps to	20161201	20991231	
45556307	4142195	Maps to	20140701	20991231	
45556934	4290000	Maps to	20140701	20991231	
45557064	138102	Maps to	19700101	20991231	
45558373	4215480	Maps to	20141010	20991231	
45561297	432509	Maps to	20181128	20991231	
45561857	4225982	Maps to	20161201	20991231	
45561889	81250	Maps to	20141014	20991231	
45562026	373449	Maps to	20181128	20991231	
45562441	261324	Maps to	19700101	20991231	
45566036	4053428	Maps to	20181128	20991231	
45567173	318772	Maps to	19700101	20991231	
45567787	74731	Maps to	20140701	20991231	
45568103	4004648	Maps to	19700101	20991231	
45571636	22288	Maps to	19700101	20991231	
45572208	36716848	Maps to	20181128	20991231	
45576250	437496	Maps to	19700101	20991231	
45576292	4021465	Maps to	20181128	20991231	
45576304	432256	Maps to	19700101	20991231	
45581458	4282316	Maps to	20131121	20991231	
45581888	31610	Maps to	19700101	20991231	
45582394	443611	Maps to	19700101	20991231	
45582686	4004638	Maps to	20161201	20991231	
45585791	4036803	Maps to	20161201	20991231	
45586311	377263	Maps to	20141010	20991231	
45588534	4189553	Maps to	20140701	20991231	
45589744	434247	Maps to	20140701	20991231	
